id,tiempoCreacion,tiempoFinalizacion
19,0.06519968554266768,1.0651996855426678
1,0.2532883904273889,17.065199685542666
12,0.2689440368030776,14.065199685542668
9,0.30250177207358586,30.065199685542666
7,0.9095240460656614,5.065199685542668
23,1.689862680872698,6.065199685542668
13,2.216916691636804,26.065199685542666
10,2.467166959598243,35.065199685542666
16,2.4902641896682365,34.065199685542666
3,2.5258618567011353,11.065199685542668
2,3.2162406407496555,21.065199685542666
22,4.158950864985809,13.065199685542668
8,5.480461593964909,32.065199685542666
11,7.039155278661534,29.065199685542666
15,7.873292542424012,31.065199685542666
17,8.898087063017627,33.065199685542666
0,10.200602872748009,44.065199685542666
14,10.494920012225723,45.065199685542666
5,11.291730087985927,38.065199685542666
21,11.977899409734851,39.065199685542666
4,13.335926728080828,41.065199685542666
20,16.389658620905514,51.065199685542666
18,16.57738094223097,46.065199685542666
6,22.272880995513805,49.065199685542666
24,31.515226484383042,58.065199685542666
